V200001,V162031x,V162062x
232609,1,1
227621,1,2
212575,0,-2
207566,1,1
227522,1,1
218207,1,1
233213,1,1
218467,0,-2
214489,0,-2
209494,1,1
213882,1,1
230498,1,2
212018,1,2
204802,0,-2
222046,1,2
221449,1,2
216546,1,1
215949,1,2
223445,0,-2
228303,1,2
221371,1,1
219699,0,-2
206419,1,2
204611,1,2
208651,1,1
201223,1,2
216218,1,2
220026,-2,-2
203830,1,3
220651,1,1
204253,1,2
207962,0,-2
232326,1,2
210043,1,1
204345,1,1
206488,1,2
210869,1,1
234186,1,1
206037,1,2
203014,1,1
207719,1,1
200404,1,1
232630,1,1
200114,1,1
230535,1,3
227997,1,2
210661,1,1
223537,-2,-2
228587,0,-2
209913,1,1
210814,1,2
227034,1,2
231071,1,2
208132,1,1
229498,1,2
216652,1,1
222725,-2,-2
217785,1,1
212131,1,1
226819,1,2
214366,1,1
234223,0,-2
216973,1,1
228853,1,2
211411,1,1
231965,1,2
211664,1,2
210234,1,1
204338,1,3
232548,1,2
216300,1,2
215406,1,1
216683,1,2
204154,0,-2
236236,1,1
219125,1,2
211589,1,2
236250,1,1
234018,1,1
209074,1,1
209807,1,1
218054,1,2
215703,1,1
225809,1,1
203700,1,2
214229,1,2
233756,1,1
220637,1,-9
229382,1,2
225229,1,1
209487,1,2
224790,0,-2
209128,1,1
211039,1,2
227188,1,1
206563,1,1
211831,0,-2
226314,1,1
231279,0,-2
235622,1,2
224981,1,2
212544,1,1
217013,1,1
201759,1,1
204376,1,2
210555,1,1
215000,1,2
209739,-2,-2
229689,1,1
222367,1,2
214946,0,-2
210159,1,1
213769,1,1
235691,1,1
225434,1,1
209067,1,2
227546,1,2
203298,1,1
225083,1,3
218085,1,1
202974,-2,-2
206686,1,2
234902,0,-2
207405,1,1
220552,1,1
222893,1,1
203038,1,2
205911,-2,-2
205294,1,1
208026,1,1
218108,1,3
203328,1,4
211145,0,-2
220217,1,2
219941,1,1
214922,1,2
222992,1,2
202493,1,1
210586,1,1
234506,-2,-2
207740,1,1
219477,1,3
201438,1,2
223148,1,1
219576,1,2
228907,1,-9
206914,1,2
211138,1,1
219279,1,2
223315,1,1
215017,1,1
204123,1,1
235677,1,-2
212568,1,2
223957,1,1
206877,0,-2
201926,1,-2
234094,1,3
206365,1,1
212377,1,1
223070,1,1
203212,1,1
211169,1,2
217686,1,-2
210579,1,1
212681,1,1
226765,1,2
222756,1,2
206228,1,1
204048,1,1
215284,1,2
206891,1,-2
206181,0,-2
221470,1,2
207887,1,3
204185,1,2
231354,1,1
210005,0,-2
231866,0,-2
207856,1,2
209753,1,2
202578,1,2
217662,1,1
210739,1,1
222169,1,2
232159,1,2
233725,1,1
214458,1,1
230030,1,2
203779,-2,-2
235509,1,2
200121,0,-2
216560,1,1
220828,1,2
209906,1,2
230108,1,1
232272,1,1
224127,1,3
209470,1,2
233275,1,1
209463,0,-2
204581,1,5
233312,1,2
235905,1,1
209982,-2,-2
206853,1,1
201834,1,2
235394,1,3
210968,1,2
234117,1,1
235998,1,2
201278,-2,-2
200534,1,1
217914,0,-2
211343,1,1
209029,1,1
209449,1,2
222404,1,1
231217,1,1
201858,1,1
202301,1,1
230900,1,2
210937,1,2
222800,1,2
216690,1,1
236434,-2,-2
220606,1,2
210678,1,3
212803,1,2
206518,1,2
234735,0,-2
204291,1,1
220804,1,1
201896,-2,-2
212483,1,-2
236274,1,1
220361,1,2
210715,1,1
201650,-2,-2
236090,1,2
222480,1,1
202189,1,1
209777,0,-2
200732,1,1
217846,-2,-2
209340,1,2
217129,1,2
211022,1,2
202721,0,-2
213455,1,1
216867,0,-2
213608,1,4
201339,1,2
210708,-2,-2
215390,1,5
228389,0,-2
219507,1,1
213479,1,1
202042,1,1
234490,0,-2
220002,-2,-2
219811,1,1
225786,1,2
230528,1,1
205522,1,1
205393,1,1
203588,1,1
226956,1,2
201391,1,5
209180,0,-2
213967,0,-2
220798,1,1
220323,1,1
236328,1,2
226116,0,-2
229917,1,2
204536,0,-2
201070,1,1
207382,1,2
211121,1,1
226437,1,2
203595,1,3
200879,1,1
227133,1,1
226963,0,-2
207054,0,-2
200695,1,2
216737,1,1
217211,1,1
202318,1,2
200503,1,1
201247,1,1
214397,1,2
208286,-2,-2
218979,1,1
216713,-2,-2
224820,1,3
228761,1,2
225168,0,-2
214731,0,-2
225533,0,-2
228075,1,2
230832,1,2
222091,1,1
210487,0,-2
204055,0,-2
234247,1,1
226376,1,1
230276,1,1
235226,1,1
227775,1,1
203878,1,2
205843,1,2
224639,1,1
216065,1,1
224080,1,2
233022,1,2
221975,1,1
201636,1,1
207825,1,5
210616,1,1
217204,-2,-2
223490,1,1
209579,0,-2
231941,-2,-2
214687,0,-2
214410,-2,-2
200459,1,2
220927,1,1
208255,0,-2
231309,1,1
200954,1,1
230382,1,1
200916,1,2
219569,1,2
213431,0,-2
201353,1,2
234193,1,2
232418,0,-2
221111,1,2
221364,1,1
225496,1,2
234285,1,2
235417,1,5
227072,1,2
207894,1,1
228884,1,2
202967,0,-2
209319,1,1
200411,0,-2
225311,0,-2
200480,1,1
212766,1,5
234773,0,-2
218764,1,1
218597,1,1
208767,1,2
222657,-2,-2
210494,0,-2
224271,1,1
205959,0,-2
202400,1,1
208903,1,1
212124,1,5
221050,1,2
211060,1,1
213615,1,1
201285,0,-2
220880,1,2
234674,0,-2
220514,-2,-2
230115,1,2
233053,1,1
217990,-2,-2
201766,1,1
223247,1,2
217792,1,1
226123,1,2
225991,0,-2
218214,1,2
219668,1,2
205041,1,1
213844,1,2
209302,1,3
210951,1,2
218757,1,2
213837,1,1
204550,1,1
218481,1,2
228006,1,2
213943,-2,-2
218672,1,1
224356,1,1
214526,0,-2
216447,1,2
230542,0,-2
235493,0,-2
205485,0,-2
233985,1,1
218139,1,1
202585,0,-2
220149,1,1
224974,1,2
219262,1,2
214236,1,2
201261,1,1
223698,1,1
229863,1,1
203564,-2,-2
225090,-2,-2
204086,1,2
233688,1,2
219316,0,-2
220521,1,2
204505,0,-2
211633,1,2
202127,1,2
205157,1,1
213288,0,-2
213738,1,2
219675,1,1
206044,1,2
208019,1,1
216621,-2,-2
216911,-2,-2
224301,1,1
222381,0,-2
200688,-2,-2
216942,1,1
222633,0,-2
223803,-2,-2
226741,1,2
225724,1,1
204604,-2,-2
234766,1,2
224448,0,-2
233947,1,2
233084,1,1
202547,1,1
232821,1,2
229139,1,2
232869,1,2
205072,1,1
218221,1,1
228617,1,2
227805,1,3
221623,0,-2
203403,0,-2
223643,1,2
209234,1,-2
234629,1,2
221579,1,2
209333,1,-2
233183,1,2
202615,-2,-2
232258,1,1
209500,1,1
216706,1,2
216522,1,2
227645,-2,-2
215536,1,1
217860,1,1
216768,0,-2
224141,1,1
208446,0,-2
207450,0,-2
220354,1,1
204994,1,1
214465,1,1
227478,0,-2
232364,1,2
214953,1,1
234537,0,-2
209203,1,2
213653,1,1
213066,1,2
214748,1,2
234476,1,1
227201,-2,-2
206303,-2,-2
213257,1,1
203427,1,1
216409,1,1
200626,1,2
208187,-2,-2
201421,1,2
212650,1,2
201568,1,2
229207,1,1
216331,0,-2
210371,1,1
206082,1,2
229290,-2,-2
206587,1,1
230443,1,2
233848,1,1
221388,-2,-2
226529,1,2
207122,1,1
220088,1,2
208323,1,2
202417,1,2
207528,1,2
225304,-2,-2
235929,1,1
232937,1,1
227676,1,1
230337,1,2
211350,1,2
